no,type,generation
figES.1,,
figES.2,,
figES.3,,
figES.4,,
figES.5,,
figES.6,,
figES.7,,
fig2.1,sankey,
fig2.2,bar.stacked,singleBarOffset
fig2.3,bar.stacked,3Bar
fig2.4,bar.stacked,3Bar
fig2.5,bar.stacked,
fig3.1,area,
fig3.2,bar.stacked,5BarOffset
fig3.3,bar.grouped.horizontal,
fig3.4,bar.stacked,2Bar
fig3.5,bar.grouped.horizontal,
fig3.6-a,bar.stacked,3Bar
fig3.6-b,bar.stacked,2Bar
fig3.7,bar.stacked,
fig3.8,bar.stacked,
fig3.9,scatter,
fig4.1,bar.stacked,
fig5.1,bar.stacked,3BarOffset
fig5.2,bar.grouped.stacked,
fig5.3,bar.grouped.stacked,
fig5.4,bar.stacked,
fig6.1,bar.grouped.stacked,
fig6.2,bar.grouped.stacked,
fig6.3,bar.grouped.stacked,
fig6.3(alt),bar.grouped.stacked,
fig6.4,bar.grouped.stacked,
fig6.5,bar.grouped.stacked,
fig6.6,bar.grouped.stacked,
fig6.7,bar.grouped.stacked,
fig6.8,bar.grouped.stacked,
fig6.9,bar.grouped.stacked,
fig6.10,bar.grouped.stacked,
fig6.11,bar.grouped.stacked,
fig7.1,bar.grouped.stacked,
fig7.2,bar.grouped.stacked,
fig7.3,bar.grouped.stacked,
fig7.4,bar.grouped.stacked,
fig7.5,bar.grouped.stacked,
fig7.6,bar.grouped.stacked,
fig7.7,bar.grouped.stacked,
fig7.8,bar.grouped.stacked,
fig7.9,bar.grouped.stacked,
fig8.1,bar.grouped.stacked,
fig8.2,bar.grouped.stacked,
fig8.3,bar.grouped.stacked,
fig8.4,bar.grouped.stacked,
fig8.5,bar.grouped.stacked,
fig8.6,bar.grouped.stacked,
fig8.7,line,
fig9.1,bar.grouped.stacked,
fig9.2,bar.grouped.stacked,
fig9.3,bar.grouped.stacked,
fig9.4,bar.grouped.stacked,
fig9.5,bar.grouped.stacked,
fig9.6,bar.grouped.stacked,
fig9.7,bar.grouped.stacked,
fig9.8,bar.grouped.stacked,
fig10.1-a,bar.grouped.stacked,
fig10.1-b,fan,
fig10.1-c,bar.grouped.stacked,
fig10.1-d,bar.grouped.stacked,
fig10.2-a,bar.grouped.stacked,
fig10.2-b,fan,
fig10.2-c,bar.grouped.stacked,
fig10.2-d,bar.grouped.stacked,
fig10.3-a,bar.grouped.stacked,
fig10.3-b,fan,
fig10.3-c,bar.grouped.stacked,
fig10.3-d,bar.grouped.stacked,
fig10.4-a,bar.grouped.stacked,
fig10.4-b,fan,
fig10.4-c,bar.grouped.stacked,
fig10.4-d,bar.grouped.stacked,
fig10.5-a,bar.grouped.stacked,
fig10.5-b,fan,
fig10.5-c,bar.grouped.stacked,
fig10.5-d,bar.grouped.stacked,
fig10.6-a,bar.grouped.stacked,
fig10.6-b,fan,
fig10.6-c,bar.grouped.stacked,
fig10.6-d,bar.grouped.stacked,
fig10.7-a,bar.grouped.stacked,
fig10.7-b,fan,
fig10.7-c,bar.grouped.stacked,
fig10.7-d,bar.grouped.stacked,
fig10.8-a,bar.grouped.stacked,
fig10.8-b,fan,
fig10.8-c,bar.grouped.stacked,
fig10.8-d,bar.grouped.stacked,
fig10.9-a,bar.grouped.stacked,
fig10.9-b,fan,
fig10.9-c,bar.grouped.stacked,
fig10.9-d,bar.grouped.stacked,
fig10.10-a,bar.grouped.stacked,
fig10.10-b,fan,
fig10.10-c,bar.grouped.stacked,
fig10.10-d,bar.grouped.stacked,
fig10.11-a,bar.grouped.stacked,
fig10.11-b,fan,
fig10.11-c,bar.grouped.stacked,
fig10.11-d,bar.grouped.stacked,
fig10.12-a,bar.grouped.stacked,
fig10.12-b,fan,
fig10.12-c,bar.grouped.stacked,
fig10.12-d,bar.grouped.stacked,
fig10.13-a,bar.grouped.stacked,
fig10.13-b,fan,
fig10.13-c,bar.grouped.stacked,
fig10.13-d,bar.grouped.stacked,
fig12.1,diagramme,
fig13.1,bar.grouped.stacked,
fig13.2,fan,
fig13.3,bar.grouped.stacked,
fig13.4,fan,
fig13.5,bar.grouped.stacked,
fig13.6,fan,
fig13.7,bar.grouped.stacked,
fig14.1,bar.grouped,
fig14.2,bar.grouped,
figC.1,bar.grouped.stacked,
figC.2,bar.grouped.stacked,
figC.3,bar.grouped.stacked,
